Fortify,https://software.microfocus.com/en-us/products/static-code-analysis-sast/overview,"A commercial static analysis platform that supports the scanning of C/C++, C#, VB.NET, VB6, ABAP/BSP, ActionScript, Apex, ASP.NET, Classic ASP, VB Script, Cobol, ColdFusion, HTML, Java, JS, JSP, MXML/Flex, Objective-C, PHP, PL/SQL, T-SQL, Python (2.6, 2.7), Ruby (1.9.3), Swift, Scala, VB, and XML.","abap, actionscript, apex, aspnet, c, cobol, coldfusion, cpp, csharp, html, java, javascript, jsp, objectivec, php, plsql, python, ruby, scala, swift, tsql, vbasic, vbnet, vbscript, xml, security",Y,
Frama-C,http://frama-c.com/,A sound and extensible static analyzer for C code,"c, cpp",N,
Frink,https://catless.ncl.ac.uk/Programs/Frink/,"A Tcl formatting and static check program (can prettify the program, minimise, obfuscate or just sanity check it).",tcl,N,
FSharpLint,http://fsprojects.github.io/FSharpLint/,Lint tool for F#.,fsharp,N,
gawk --lint,https://www.gnu.org/software/gawk/manual/html_node/Options.html,Warns about constructs that are dubious or nonportable to other awk implementations,awk,N,
Gendarme,https://www.mono-project.com/docs/tools+libraries/tools/gendarme/,Gendarme inspects programs and libraries that contain code in ECMA CIL format (Mono and .NET),csharp,N,
gherkin-lint,https://github.com/vsiakka/gherkin-lint,A linter for the Gherkin-Syntax written in Javascript,gherkin,N,
Ghidra,https://ghidra-sre.org,A software reverse engineering (SRE) suite of tools developed by NSA's Research Directorate in support of the Cybersecurity missio,binary,N,
Gitleaks,ttps://github.com/zricethezav/gitleak,"A SAST tool for detecting hardcoded secrets like passwords, api keys, and tokens in git repos",security,N,
ShiftLeft Scan,https://slscan.io,Scan is a free open-source DevSecOps platform for detecting security issues in source code and dependencies. It supports a broad range of languages and CI/CD pipelines,"apex, shell, go, groovy, ide, java, jsp, json, kotlin, scala, container, nodejs, configmanagement, php, plsql, python, ruby, rust, vbasic, yaml",N,
Super-Linter,https://github.com/github/super-linter,Combination of multiple linters to install as a GitHub Action.,"coffeescript, container, go, javascript, json, markdown, perl, python, ruby, shell, configmanagement, typescript, xml, yaml",N,
gixy,https://github.com/yandex/gixy,A tool to analyze Nginx configuration. The main goal is to prevent misconfiguration and automate flaw detection,configfile,N,
Go Meta Linter,https://github.com/alecthomas/gometalinter,Concurrently run Go lint tools and normalise their output. Use `golangci-lint` for new projects.,"meta, go",N,
go tool vet --shadow,https://golang.org/cmd/vet/#hdr-Shadowed_variables,Reports variables that may have been unintentionally shadowed,go,N,
go vet,https://golang.org/cmd/vet/,Examines Go source code and reports suspicious,go,N,
go-consistent,https://github.com/Quasilyte/go-consistent,Analyzer that helps you to make your Go programs more consistent,go,N,
go-critic,https://github.com/go-critic/go-critic,Go source code linter that maintains checks which are currently not implemented in other linters,go,N,
go/ast,https://golang.org/pkg/go/ast/,Package ast declares the types used to represent syntax trees for Go packages,go,N,
gochecknoglobals,https://github.com/leighmcculloch/gochecknoglobals,Checks that no globals are present,go,N,
goconst,https://github.com/jgautheron/goconst,Finds repeated strings that could be replaced by a constant,go,N,
gocyclo,https://github.com/fzipp/gocyclo,Calculate cyclomatic complexities of functions in Go source code,go,N,
gofmt -s,https://golang.org/cmd/gofmt/,Checks if the code is properly formatted and could not be further simplified,go,N,
goimports,https://pkg.go.dev/golang.org/x/tools/cmd/goimports,Checks missing or unreferenced package imports,go,N,
GolangCI-Lint,https://golangci-lint.run/,Alternative to `Go Meta Linter`: GolangCI-Lint is a linters aggregator.,go,N,
golint,https://github.com/golang/lint,Prints out coding style mistakes in Go source code,go,N,
Goodcheck,https://sider.github.io/goodcheck/,Regexp based customizable linter,"c, cpp, java, php",N,
goodpractice,http://mangothecat.github.io/goodpractice/,Analyses the source code for R packages and provides best-practice recommendations,r,N,
google-java-format,https://github.com/google/google-java-format,Google Style Reformat,java,N,
goreporter,https://github.com/360EntSecGroup-Skylar/goreporter,Concurrently runs many linters and normalises their output to a report,"meta, go",N,
goroutine-inspect,https://github.com/linuxerwang/goroutine-inspect,An interactive tool to analyze Golang goroutine dump,go,N,
gosec (gas),https://securego.io/,Inspects source code for security problems by scanning the Go AST,go,N,
gotype,https://pkg.go.dev/golang.org/x/tools/cmd/gotype,Syntactic and semantic analysis similar to the Go compiler,go,N,
GraphMyCSS.com,https://graphmycss.com,CSS Specificity Graph Generator,css,N,
graudit,http://www.justanotherhacker.com/,Grep rough audit - source code auditing tool.,"c, cpp, php, asp, csharp, java, perl, python, ruby",N,
GrumPHP,https://github.com/phpro/grumphp,Checks code on every commit,php,N,
grunt-bootlint,https://github.com/twbs/grunt-bootlint,"A Grunt wrapper for [Bootlint](https://github.com/twbs/bootlint), the HTML linter for Bootstrap projects",html,N,
gulp-bootlint,https://github.com/tschortsch/gulp-bootlint,"A gulp wrapper for [Bootlint](https://github.com/twbs/bootlint), the HTML linter for Bootstrap projects",html,N,
haml-lint,https://github.com/sds/haml-lint,Tool for writing clean and consistent HAML,template,N,
Haskell Dockerfile Linter,https://github.com/lukasmartinelli/hadolint,A smarter Dockerfile linter that helpsyou build best practice Docker images,container,N,
Haxe Checkstyle,http://haxecheckstyle.github.io/docs/haxe-checkstyle/home.html,A static analysis tool to help developers write Haxe code that adheres to a coding standard,haxe,N,
Helix QAC,https://www.perforce.com/products/helix-qac,"Enterprise-grade static analysis for embedded software. Supports MISRA, CERT, and AUTOSAR coding standards.","c, cpp",Y,
herbie,https://github.com/mcarton/rust-herbie-lint,Adds warnings or errors to your crate when using a numerically unstable floating point expression,rust,N,
HLint,https://github.com/ndmitchell/hlint,HLint is a tool for suggesting possible improvements to Haskell code,haskell,N,
Hopper,https://github.com/cuplv/hopper,A static analysis tool written in scala for languages that run on JVM,"groovy, java, kotlin, scala",N,
Hound CI,https://houndci.com/,"Comments on style violations in GitHub pull requests. Supports Coffeescript, Go, HAML, JavaScript, Ruby, SCSS and Swift.","coffeescript, go, haml, javascript, ruby, css, swift",N,
HTML Inspector,https://github.com/philipwalton/html-inspector,HTML Inspector is a code quality tool to help you and your team write better markup,html,N,
HTML Tidy,http://www.html-tidy.org/,Corrects and cleans up HTML and XML documents by fixing markup errors and upgrading legacy code to modern standards,html,N,
HTMLHint,https://htmlhint.com/,A Static Code Analysis Tool for HTML,html,N,
HuntBugs,https://github.com/amaembo/huntbugs,Bytecode static analyzer tool based on Procyon Compiler Tools aimed to supersede FindBugs,java,N,
i-Code CNES for Fortran,https://github.com/lequal/i-CodeCNES,"An open source static code analysis tool for Fortran 77, Fortran 90 and Shell.",fortran,N,
i-Code CNES for Shell,https://github.com/lequal/i-CodeCNES,An open source static code analysis tool for Shell and Fortran (77 and 90),shell,N,
iblessing,ttps://www.kitploit.com/2020/08/iblessing-ios-security-exploiting.htm," iblessing is an iOS security exploiting toolkit. It can be used for reverse engineering, binary analysis and vulnerability mining","mobile, security",N,
IDA Free,https://www.hex-rays.com/products/ida/support/download_freeware/,Binary code analysis tool,binary,Y,
IKOS,https://github.com/nasa-sw-vnv/ikos,A sound static analyzer for C/C++ code based on LLVM,"c, cpp",N,
